Hour:min:sec.msec,Value
11:29:56.231,2591.20
11:29:56.312,2591.20
11:29:56.451,2591.20
11:29:56.512,2591.20
11:29:56.591,2591.20
11:29:56.758,2591.20
11:29:56.791,2591.20
11:29:56.932,2591.20
11:29:57.011,2591.20
11:29:57.151,2591.20
11:29:57.232,2591.20
11:29:57.351,2591.20
11:29:57.439,2591.20
11:29:57.491,2591.20
11:29:57.631,2591.20
11:29:57.719,2591.20
11:29:57.859,2591.20
11:29:57.918,2591.20
11:29:58.051,2591.20
11:29:58.131,2591.20
11:29:58.192,2591.20
11:29:58.339,2591.20
11:29:58.432,2591.20
11:29:58.559,2591.20
11:29:58.619,2591.20
11:29:58.751,2591.20
11:29:58.838,2591.20
11:29:58.911,2591.20
11:29:59.031,2591.20
11:29:59.118,2591.20
11:29:59.258,2591.20
11:29:59.318,2591.20
11:29:59.458,2591.20
11:29:59.552,2591.20
11:29:59.611,2591.20
11:29:59.751,2591.20
11:29:59.812,2591.20
11:29:59.951,2624.00
11:30:00.019,2624.00
11:30:00.151,2624.00
11:30:00.232,2624.00
11:30:00.291,2624.00
11:30:00.439,2624.00
11:30:00.512,2591.20
11:30:00.644,2591.20
11:30:00.711,2591.20
11:30:00.851,2591.20
11:30:00.951,2591.20
11:30:00.991,2591.20
11:30:01.131,2591.20
11:30:01.211,2591.20
11:30:01.352,2591.20
11:30:01.439,2591.20
11:30:01.552,2591.20
11:30:01.631,2591.20
11:30:01.698,2591.20
11:30:01.831,2591.20
11:30:01.910,2591.20
11:30:02.052,2591.20
11:30:02.110,2591.20
11:30:02.192,2591.20
11:30:02.338,2591.20
11:30:02.391,2591.20
11:30:02.531,2591.20
11:30:02.618,2591.20
11:30:02.752,2591.20
11:30:02.818,2591.20
11:30:02.958,2591.20
11:30:03.031,2591.20
11:30:03.099,2591.20
11:30:03.232,2591.20
11:30:03.311,2591.20
11:30:03.371,2591.20
11:30:03.511,2558.40
11:30:03.651,2558.40
11:30:03.739,2558.40
11:30:03.792,2558.40
11:30:03.951,2591.20
11:30:04.019,2591.20
11:30:04.151,2591.20
11:30:04.211,2591.20
11:30:04.344,2591.20
11:30:04.431,2591.20
11:30:04.511,2591.20
11:30:04.631,2591.20
11:30:04.711,2591.20
11:30:04.852,2591.20
11:30:04.918,2591.20
11:30:05.051,2591.20
11:30:05.151,2591.20
11:30:05.192,2591.20
11:30:05.331,2591.20
11:30:05.411,2591.20
11:30:05.551,2591.20
11:30:05.639,2591.20
11:30:05.759,2558.40
11:30:05.831,2558.40
11:30:05.892,2558.40
11:30:06.039,2558.40
11:30:06.111,2558.40
11:30:06.251,2558.40
11:30:06.312,2558.40
11:30:06.399,2591.20
11:30:06.551,2591.20
11:30:06.591,2558.40
11:30:06.732,2558.40
11:30:06.838,2558.40
11:30:06.951,2558.40
11:30:07.019,2591.20
11:30:07.151,2591.20
11:30:07.232,2558.40
11:30:07.312,2558.40
11:30:07.431,2558.40
11:30:07.512,2558.40
11:30:07.658,2558.40
11:30:07.711,2558.40
11:30:07.859,2558.40
11:30:07.931,2558.40
11:30:07.992,2558.40
11:30:08.151,2558.40
11:30:08.211,2558.40
11:30:08.347,2591.20
11:30:08.418,2591.20
11:30:08.551,2591.20
11:30:08.638,2591.20
11:30:08.692,2558.40
11:30:08.831,2558.40
11:30:08.911,2558.40
11:30:09.051,2558.40
11:30:09.118,2558.40
11:30:09.253,2558.40
11:30:09.331,2558.40
11:30:09.391,2558.40
11:30:09.531,2558.40
11:30:09.611,2558.40
11:30:09.740,2558.40
11:30:09.811,2558.40
11:30:09.951,2558.40
11:30:10.031,2558.40
11:30:10.091,2558.40
11:30:10.238,2558.40
11:30:10.308,2558.40
11:30:10.451,2558.40
11:30:10.511,2558.40
11:30:10.592,2558.40
11:30:10.732,2558.40
11:30:10.791,2591.20
11:30:10.932,2591.20
11:30:11.014,2591.20
11:30:11.151,2591.20
11:30:11.212,2591.20
11:30:11.352,2591.20
11:30:11.431,2591.20
11:30:11.498,2591.20
11:30:11.639,2591.20
11:30:11.711,2591.20
11:30:11.772,2591.20
11:30:11.919,2591.20
11:30:12.051,2591.20
11:30:12.132,2591.20
11:30:12.192,2591.20
11:30:12.359,2591.20
11:30:12.411,2591.20
11:30:12.551,2591.20
11:30:12.611,2591.20
11:30:12.758,2591.20
11:30:12.839,2591.20
11:30:12.892,2591.20
11:30:13.051,2591.20
11:30:13.118,2591.20
11:30:13.258,2591.20
11:30:13.311,2591.20
11:30:13.392,2591.20
11:30:13.552,2558.40
11:30:13.591,2558.40
11:30:13.732,2591.20
11:30:13.811,2591.20
11:30:13.951,2591.20
11:30:14.031,2591.20
11:30:14.151,2591.20
11:30:14.232,2591.20
11:30:14.291,2591.20
11:30:14.431,2591.20
11:30:14.512,2591.20
11:30:14.651,2591.20
11:30:14.711,2591.20
11:30:14.843,2591.20
11:30:14.932,2591.20
11:30:14.991,2558.40
11:30:15.131,2558.40
11:30:15.231,2558.40
11:30:15.359,2558.40
11:30:15.411,2558.40
11:30:15.551,2558.40
11:30:15.632,2558.40
11:30:15.711,2558.40
11:30:15.831,2558.40
11:30:15.919,2558.40
11:30:16.059,2558.40
11:30:16.111,2558.40
11:30:16.252,2558.40
11:30:16.329,2558.40
11:30:16.399,2558.40
